IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.81.66.55,80,80,false,IAD,North America,Ashburn,234,6.99
20.151.142.151,8443,443,true,YYZ,North America,Toronto,219,6.47
20.246.144.214,443,443,true,IAD,North America,Ashburn,238,5.87
52.252.14.249,443,443,true,IAD,North America,Ashburn,240,5.42
191.237.202.255,443,0,false,GRU,South America,São Paulo,337,3.82
191.237.205.178,443,0,false,GRU,South America,São Paulo,343,3.34
51.107.211.178,2083,80,false,CPH,Europe,Copenhagen,173,2.68
20.250.70.204,2096,443,true,CDG,Europe,Paris,156,1.95
52.187.35.233,80,0,false,SIN,Asia Pacific,Singapore,2,0.90
104.208.64.116,80,0,false,HKG,Asia Pacific,Hong Kong,32,0.27
20.251.160.168,2087,443,true,CPH,Europe,Copenhagen,179,0.22
20.46.125.42,80,0,false,NRT,Asia Pacific,Tokyo,72,0.19
20.243.87.182,80,0,false,NRT,Asia Pacific,Tokyo,73,0.19
20.157.120.71,80,0,false,LHR,Europe,London,162,0.14
4.242.18.222,80,0,false,SEA,North America,Seattle,165,0.09
104.208.71.2,80,0,false,HKG,Asia Pacific,Hong Kong,35,0.08
20.102.24.191,80,0,false,IAD,North America,Ashburn,232,0.06
20.46.53.43,80,0,false,BOM,Asia Pacific,Mumbai,87,0.05
20.46.53.43,80,0,false,BOM,Asia Pacific,Mumbai,80,0.05
20.2.87.94,80,0,false,HKG,Asia Pacific,Hong Kong,33,0.04
52.251.72.69,80,0,false,IAD,North America,Ashburn,232,0.03
172.162.242.200,80,0,false,MXP,Europe,Milan,216,0.03
20.86.52.80,80,0,false,AMS,Europe,Amsterdam,157,0.03
51.143.162.160,80,80,false,LHR,Europe,London,155,0.03
20.81.104.97,80,443,false,IAD,North America,Ashburn,230,0.02
52.236.148.143,80,0,false,AMS,Europe,Amsterdam,157,0.00
13.82.233.190,80,0,false,IAD,North America,Ashburn,234,0.00
74.226.216.102,80,0,false,NRT,Asia Pacific,Tokyo,73,0.00
20.89.149.18,80,0,false,NRT,Asia Pacific,Tokyo,74,0.00
20.18.32.188,443,0,false,NRT,Asia Pacific,Tokyo,74,0.00
20.18.32.188,8080,0,false,NRT,Asia Pacific,Tokyo,72,0.00
20.222.173.116,80,0,false,NRT,Asia Pacific,Tokyo,72,0.00
20.78.2.61,80,0,false,NRT,Asia Pacific,Tokyo,73,0.00
20.243.248.205,80,0,false,NRT,Asia Pacific,Tokyo,74,0.00
20.18.32.188,80,0,false,NRT,Asia Pacific,Tokyo,72,0.00
20.118.131.247,80,0,false,LAX,North America,Los Angeles,185,0.00
20.172.220.126,80,0,false,IAD,North America,Ashburn,229,0.00
